"age","gender","occupation","slot1","slot2","slot3","slot4","slot5","slot6"
"0.30","0.0","0.0","0","0","0","1","0","0"
"0.13","1.0","1.0","0","0","1","0","0","0"
"0.20","0.0","2.0","0","0","0","0","1","0"
"0.45","1.0","3.0","0","1","0","0","0","0"
"0.23","0.0","1.0","1","0","1","0","0","0"
"0.32","1.0","0.0","1","0","1","0","0","1"
"0.23","0.0","1.0","1","0","1","0","0","1"
"0.23","0.0","1.0","1","0","1","0","0","1"
"0.26","0.0","0.0","1","0","1","0","0","1"
"0.23","0.0","1.0","1","0","1","0","1","1"
"0.23","0.0","1.0","1","0","1","0","1","1"
"0.25","0.0","1.0","1","0","0","0","1","0"
"0.50","1.0","3.0","1","0","0","0","0","1"
"0.50","1.0","3.0","1","0","0","0","0","1"
"0.42","0.0","2.0","0","1","1","1","1","0"
"0.42","0.0","2.0","0","0","0","1","1","0"
"0.20","0.0","4.0","0","0","0","1","1","0"
"0.40","0.0","4.0","0","0","0","1","1","0"
"0.40","0.0","4.0","0","0","0","1","1","0"
"0.50","0.0","4.0","0","1","1","1","0","0"
"0.50","0.0","4.0","0","1","1","1","1","1"
