control_level,age,gender,frequency1,frequency2,frequency3,frequency4,frequency5,frequency6,frequency7
1,15,1,0,1,0,0,0,0,0
2,15,1,0,1,0,0,0,0,0
3,15,1,0,1,0,0,0,0,0
4,15,1,0,1,0,0,0,0,0
5,15,1,0,1,0,0,0,0,0
6,15,1,0,1,0,0,0,0,0
7,15,1,0,1,0,0,0,0,0
8,15,1,0,1,0,0,0,0,0
9,15,1,0,1,0,0,0,0,0
10,15,1,0,1,0,0,0,0,0
11,15,1,0,1,0,0,0,0,0
12,15,1,0,1,0,0,0,0,0
13,15,1,0,1,0,0,0,0,0
14,15,1,0,1,0,0,0,0,0
15,15,1,0,1,0,0,0,0,0
16,15,1,0,1,0,0,0,0,0
17,15,1,0,1,0,0,0,0,0
18,15,1,0,1,0,0,0,0,0
19,15,1,0,1,0,0,0,0,0
20,15,1,0,1,0,0,0,0,0
15,30,0,,,0.4,,,,
