"control_level_0","control_level_1","control_level_2","control_level_3","control_level_4","age_0","age_1","age_2","gender","seq_1","seq_2","seq_3","seq_4","seq_5","seq_6","seq_7","seq_8"
"1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0.5","0.5","1","1","0.5","0.5","0.5","0.5"
"0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1","0.5","0.5","0.5","0.5","1","0.5","0.5","1"
"0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1"
"0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0.5","0.5","0.5","0.5","0.5","0","0.5","0.5"
"0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
