"control_level_0","control_level_1","control_level_2","control_level_3","control_level_4","age_0","age_1","age_2","gender","slot_1","slot_2","slot_3","slot_4","slot_5","slot_6"
"1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","1","0","1","0","1","0","0"
"1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","1.0","1.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","0"
"0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0","1","0","0","0","1","0"
"0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0.5","0","0.5","0.5","0.5","0"
"0.0","0.0","1.0","1.0","0.0","0.0","1.0","0.0","0","0.5","0.5","0.5","0.5","0.5","0.5"
"1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1","0.5","1","0.5","0","0.5","0"
